fasta_name,accession
D/bovine/Italy/17RS395-6/2017|Italy|2017-02-08,MK965368.1
D/bovine/Italy/17RS396-10/2017|Italy|2017-02-08,MK965369.1
D/bovine/Italy/18RS182-13/2017|Italy|2017-12-19,MK965364.1
D/bovine/Italy/18RS182-16/2018|Italy|2018-01-19,MK965365.1
D/bovine/Italy/15RS1509-14/2015|Italy|2015-09-10,MK965371.1
D/swine/Italy/18VIR6833/2015|Italy|2015,MK965372.1
D/bovine/Quebec/5E-H/2018|Canada|2018,MT246271.1
D/bovine/Quebec/3E-H/2018|Canada|2018,MT246284.1
D/bovine/Quebec/3M-B/2020|Canada|2020-01,MT246291.1
D/bovine/Quebec/4Q-J20/2020|Canada|2020-01,MT246298.1
D/swine/Italy/73601-3/2017|Italy|2017-03,MK131023.1
D/bovine/Italy/31525/2018|Italy|2018-01,MK131034.1
D/bovine/Yamagata/1/2019|Japan|2019-01-07,LC494106.1
D/bovine/Italy/28145/2019|Italy|2019-01,MN123958.1
D/bovine/Italy/28300/2019|Italy|2019-01,MN123868.1
D/bovine/Italy/30787/2017|Italy|2017-02,MN123875.1
D/bovine/Italy/35490/2019|Italy|2019-01,MN123882.1
D/bovine/Italy/38955/2019|Italy|2019-01,MN123889.1
D/bovine/Italy/45097/2019|Italy|2019-02,MN123896.1
D/bovine/Italy/78668/2019|Italy|2019-03,MN123910.1
D/bovine/Italy/345075/2018|Italy|2018-04,MN123917.1
D/bovine/Italy/3907772/2018|Italy|2018-12,MN123924.1
D/bovine/Italy/56649-11/2018|Italy|2018-02,MN123938.1
D/bovine/Italy/776951/2018|Italy|2018-03,MN123945.1
D/swine/Italy/218655/2017|Italy|2017-08,MN123952.1
D/bovine/Italy/59542/2018|Italy|2018-03,MN165183.1
D/bovine/Italy/50543-3/2018|Italy|2018-02,MN165190.1
D/bovine/Italy/4128547/2018|Italy|2018-02,MN165197.1
D/bovine/Italy/40574/2018|Italy|2018-01,MN165204.1
D/bovine/Italy/37760/2019|Italy|2019-01,MN165211.1
D/bovine/Italy/3525/2018|Italy|2018-01,MN165218.1
D/bovine/Italy/20749/2018|Italy|2018-01,MN165225.1
D/bovine/Italy/14429/2018|Italy|2018-01,MN165232.1
D/bovine/Italy/12545-8/2018|Italy|2018-01,MN165238.1
D/bovine/Italy/12002-1/2018|Italy|2018-01,MN165245.1
D/bovine/Italy/108524/2018|Italy|2018-04,MN165252.1
D/bovine/France/5920/2014|France|2014-02-18,MG720241.1
D/bovine/Northern_Ireland/24280/2017|United_Kingdom|2017-12-01,MK101119.1
D/swine/Kentucky/17TOSU1262/2017|USA|2017-11-01,MK054182.1
D/swine/Oklahoma/1334/2011|USA|2011-03-21,NC_036615.1
D/bovine/Yamagata/10710/2016|Japan|2016-03,LC318666.1
D/swine/Italy/173287-4/2016|Italy|2016-05,KX768825.1
D/swine/Italy/254578/2015|Italy|2015-09,KX768832.1
D/swine/Italy/354017/2015|Italy|2015-12,KX768839.1
